,ID,Drug,Sex,Age_months,Wt,time,tvolume,sites
253,i334,Ramicane,Female,8,20,40,40.44237037,2
271,d251,Ramicane,Female,8,19,40,38.26540379,2
281,l897,Capomulin,Male,17,19,40,38.34390154,1
298,b742,Capomulin,Male,7,21,40,38.2556274,0
308,b128,Capomulin,Female,9,22,40,38.3797259,2
326,a411,Ramicane,Male,3,22,40,40.25881765,1
336,j119,Capomulin,Female,7,23,40,44.5850896,1
349,v923,Capomulin,Female,19,21,40,42.1510148,2
359,g316,Capomulin,Female,22,22,40,45.56582103,2
369,s710,Capomulin,Female,1,23,40,40.17192011,1
379,l509,Capomulin,Male,17,21,40,40.77081259,2
389,r944,Capomulin,Male,12,25,40,41.0420449,2
399,e662,Ramicane,Male,8,24,40,44.00672385,2
409,u196,Ramicane,Male,18,25,40,43.45368679,2
419,q597,Ramicane,Male,20,25,40,44.47182121,2
429,a444,Ramicane,Female,10,25,40,42.50492554,0
439,i557,Capomulin,Female,1,24,40,46.82106972,1
462,a203,Infubinol,Female,20,23,40,63.59349002,2
472,a251,Infubinol,Female,21,25,40,63.09507565,1
482,a262,Placebo,Female,17,29,40,69.59273198,4
492,a275,Ceftamin,Female,20,28,40,60.92153868,3
509,a401,Zoniferol,Female,8,25,40,61.76860538,4
522,a492,Stelasyn,Male,20,25,40,57.92849897,1
539,a685,Infubinol,Male,8,30,40,60.56790371,2
549,a699,Propriva,Female,5,28,40,58.60544816,1
566,a818,Naftisol,Female,12,28,40,69.27381374,1
576,a897,Placebo,Male,7,28,40,67.21174279,4
586,a963,Stelasyn,Female,23,27,40,58.46378685,1
609,b559,Naftisol,Male,20,26,40,69.96961645,1
626,b879,Stelasyn,Female,4,26,40,67.18912666,2
636,c139,Infubinol,Male,11,28,40,69.42814095,2
646,c264,Zoniferol,Female,11,27,40,65.70832272,2
656,c282,Placebo,Male,12,27,40,65.02179944,2
666,c302,Zoniferol,Female,10,29,40,63.28107148,4
678,c402,Stelasyn,Female,1,27,40,70.22229679,2
688,c559,Zoniferol,Female,19,28,40,60.86184431,3
705,c757,Placebo,Male,9,27,40,66.60436771,2
715,c766,Placebo,Female,13,26,40,67.68529456,4
725,c819,Ketapril,Male,21,25,40,62.17570465,1
734,c832,Ketapril,Male,18,29,40,62.57231816,2
751,c927,Propriva,Female,4,26,40,64.18322918,4
764,d474,Ketapril,Male,18,27,40,60.23373278,1
773,e213,Naftisol,Male,8,27,40,60.23654797,3
783,e227,Placebo,Male,1,30,40,70.7152176,3
799,e476,Infubinol,Male,23,26,40,61.52527583,1
809,e584,Naftisol,Male,9,27,40,62.81687083,4
833,f345,Infubinol,Male,23,26,40,58.3155925,1
849,f545,Zoniferol,Female,20,26,40,71.10811835,1
873,g296,Zoniferol,Female,14,29,40,62.22191493,4
883,g497,Ketapril,Male,19,28,40,67.74281406,2
893,g558,Propriva,Male,8,29,40,61.77496268,4
902,g570,Propriva,Male,16,29,40,68.52585616,2
929,h246,Ketapril,Male,13,30,40,71.15083468,2
949,i386,Infubinol,Female,23,29,40,67.28962147,4
961,i635,Propriva,Male,21,26,40,56.84243514,3
977,i901,Stelasyn,Male,23,29,40,64.30345451,0
992,j296,Ceftamin,Female,24,30,40,60.07268848,3
1002,j365,Zoniferol,Male,24,28,40,62.32717066,2
1012,j755,Naftisol,Male,23,27,40,67.2077103,1
1022,j984,Stelasyn,Female,2,30,40,67.77708036,1
1032,k210,Ceftamin,Male,15,28,40,66.62283628,2
1042,k382,Ketapril,Male,22,29,40,67.42095521,4
1052,k483,Infubinol,Female,20,30,40,64.13872489,3
1085,k862,Stelasyn,Female,13,25,40,67.57134128,4
1095,k894,Zoniferol,Female,13,29,40,58.64705616,4
1111,l471,Ceftamin,Female,7,28,40,63.84485785,1
1131,l661,Ceftamin,Male,18,26,40,59.20566876,3
1141,l700,Naftisol,Female,18,27,40,62.98667798,1
1151,l725,Naftisol,Female,8,26,40,73.69349382,3
1161,l733,Ceftamin,Female,4,30,40,59.4435065,1
1178,m269,Stelasyn,Female,22,28,40,70.21464419,1
1192,m550,Ketapril,Male,18,28,40,68.21072019,4
1202,m650,Ketapril,Male,15,27,40,70.79706787,4
1214,n304,Naftisol,Male,9,26,40,59.83050667,4
1237,n763,Placebo,Female,16,25,40,58.01114583,4
1246,n923,Ketapril,Male,19,30,40,66.22960554,3
1259,o287,Ceftamin,Male,2,28,40,57.1971929,4
1276,o331,Ketapril,Male,24,30,40,71.44774251,3
1289,o562,Propriva,Female,4,25,40,71.17246321,1
1303,o795,Placebo,Female,20,26,40,70.26647887,4
1324,o926,Zoniferol,Male,15,29,40,59.90304448,3
1334,o973,Ketapril,Female,11,29,40,64.48781246,2
1343,p136,Zoniferol,Female,5,28,40,61.38024887,1
1353,p189,Ketapril,Male,8,28,40,74.10609077,4
1369,p387,Stelasyn,Male,3,30,40,69.03887618,1
1378,p438,Ceftamin,Female,11,26,40,59.30528806,1
1406,q483,Ceftamin,Male,6,26,40,64.19234114,1
1415,q511,Zoniferol,Female,2,28,40,63.19442807,2
1433,q633,Zoniferol,Male,12,25,40,68.49863876,2
1443,q787,Placebo,Male,17,27,40,62.0341267,3
1464,r604,Naftisol,Male,7,30,40,60.18611531,2
1474,r701,Naftisol,Male,21,25,40,66.64072178,1
1517,s337,Zoniferol,Male,14,27,40,56.99481589,4
1527,s565,Stelasyn,Female,3,29,40,67.22100698,2
